,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_PH_TANK1.1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_PH_TANK1.2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_HEAT_CH01,PHOS_FIRE_TEMP_HEAT_CH02,PHOS_FIRE_TEMP_HEAT_CH03,PHOS_FIRE_TEMP_HEAT_CH04,PHOS_FIRE_TEMP_KEEP_CH01,PHOS_FIRE_TEMP_KEEP_CH02,PHOS_FIRE_TEMP_KEEP_CH03,PHOS_FIRE_TEMP_KEEP_CH04,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_TEMP_HEAT1_CH01,DIELEC_FIRE_TEMP_HEAT1_CH02,DIELEC_FIRE_TEMP_HEAT1_CH03,DIELEC_FIRE_TEMP_HEAT2_CH01,DIELEC_FIRE_TEMP_HEAT2_CH02,DIELEC_FIRE_TEMP_HEAT2_CH03,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_KEEP_CH03,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7,MC_2AG_2RTD,MC_3BUS_1DEVELOP,MC_6PHOS_2G_2DRY,MC_6PHOS_4FIRE,MC_4DIELEC_1FIRE,LOT_ID,PANEL_ID,MC_2AG_2RTD,MC_3BUS_1DEVELOP,MC_6PHOS_2G_2DRY,MC_6PHOS_4FIRE,MC_4DIELEC_1FIRE,LOT_ID,PANEL_ID,MC_2AG_2RTD,MC_3BUS_1DEVELOP,MC_6PHOS_2G_2DRY,MC_6PHOS_4FIRE,MC_4DIELEC_1FIRE,LOT_ID,PANEL_ID
10,46.8,138.0,77.8,101.2,317.6,435.9,45.4,93.0,60.0515,60.7392,59.8784,23.5,9.1999,30.7876,6.5488,35.1557,2.0236,1.9766,47.5,139.3,110.6,57.1,27.9,32.2,83.8,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,445.0,392.0,372.0,4118.0,3983.0,4461.0,2514.0,296.0,341.0,349.0,453.0,452.0,473.0,573.0,582.0,576.0,536.0,2108.0,2133.0,3327.0,3801.0,3057.0,2966.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-11,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-11,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-11
11,45.1,138.0,77.6,100.3,364.0,419.6,46.6,92.0,61.0032,60.7777,60.1798,23.4043,9.2,30.8,6.55,35.3,2.0219,1.9996,46.7,140.0,108.9,54.9,35.1,31.8,82.0,394.0,405.0,421.0,441.0,480.0,480.0,480.0,475.0,445.0,394.0,374.0,3667.0,4086.0,4462.0,2599.0,296.0,342.0,349.0,454.0,453.0,473.0,573.0,582.0,573.0,537.0,2153.0,2124.0,3316.0,3952.0,3109.0,2887.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-12,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-12,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-12
12,45.8,139.0,79.0,102.8,377.4,339.6,46.6,93.0,59.988,60.8,62.065,23.1,9.2,31.6,6.55,34.5,2.0285,1.9998,48.0,141.7,115.5,57.9,31.5,37.1,86.0,394.0,406.0,421.0,441.0,480.0,479.0,480.0,475.0,444.0,393.0,372.0,4026.0,3938.0,4385.0,2463.0,296.0,341.0,348.0,454.0,453.0,473.0,574.0,585.0,575.0,534.0,2017.0,2162.0,3431.0,3206.0,3169.0,3167.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-13,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-13,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-13
13,46.0,138.0,77.1,101.9,275.1,400.8,46.0,92.9,60.6521,60.7833,60.3333,23.5,9.1999,30.7979,6.5493,35.2354,2.0245,1.8941,47.3,139.4,110.7,55.6,27.5,32.9,83.9,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,443.0,392.0,372.0,3644.0,4072.0,4485.0,2581.0,296.0,342.0,349.0,454.0,453.0,472.0,573.0,582.0,574.0,536.0,2187.0,2149.0,3366.0,3864.0,3116.0,3255.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-14,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-14,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-14
14,46.4,138.0,77.4,101.4,275.8,440.2,44.8,92.0,61.0538,59.9593,63.0791,23.4,9.1993,30.9132,6.5493,33.0297,2.0265,2.0585,46.8,139.2,110.4,60.9,27.8,32.8,83.8,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,443.0,392.0,371.0,3670.0,4059.0,4451.0,2585.0,296.0,342.0,349.0,454.0,453.0,473.0,568.0,582.0,574.0,531.0,2017.0,2204.0,3563.0,3355.0,3205.0,3149.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-15,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-15,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-15
15,47.0,139.0,78.0,102.0,275.5,421.2,43.0,92.0,61.108000000000004,60.4,61.4966,23.4,9.1992,31.0977,6.5498,33.5739,2.0274,2.0625,46.8,139.2,110.4,59.5,29.8,32.8,83.8,392.0,404.0,419.0,439.0,482.0,481.0,481.0,475.0,442.0,393.0,372.0,4120.0,3967.0,4472.0,2513.0,295.0,341.0,349.0,454.0,454.0,474.0,572.0,581.0,576.0,535.0,2112.0,2152.0,3251.0,3824.0,3065.0,2952.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-16,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-16,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-16
16,47.9,139.0,81.8,102.8,319.2,355.4,43.5,94.0,62.1391,62.3293,62.238,23.3478,9.2,31.1,6.6,34.3,2.0296,2.0047,48.6,140.4,110.1,60.0,29.3,32.9,84.2,393.0,405.0,420.0,440.0,479.0,480.0,480.0,475.0,443.0,393.0,372.0,3644.0,4049.0,4438.0,2584.0,296.0,342.0,349.0,454.0,453.0,473.0,569.0,582.0,573.0,532.0,2013.0,2142.0,3678.0,3293.0,3114.0,3121.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-17,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-17,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-17
17,45.1,138.0,77.9,103.0,412.7,379.7,44.2,91.0,60.9819,61.559,61.4,23.5,9.1999,30.7257,6.5481,34.4019,2.0324,2.0555,47.3,139.4,110.6,52.0,27.3,32.4,83.8,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,443.0,391.0,371.0,3656.0,4088.0,4539.0,2590.0,296.0,342.0,349.0,454.0,453.0,472.0,572.0,582.0,574.0,537.0,2272.0,2164.0,3250.0,3896.0,3371.0,2890.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-18,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-18,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-18
18,46.9,139.0,78.1,102.9,354.9,410.2,43.5,92.1,61.0398,62.743,63.3,23.2,9.2,31.2,6.54,34.6,2.0299,1.9906,47.2,138.9,106.3,56.0,25.8,31.8,81.8,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,444.0,391.0,371.0,4062.0,3995.0,4456.0,2479.0,296.0,342.0,349.0,454.0,453.0,473.0,569.0,582.0,575.0,534.0,2026.0,2144.0,3498.0,3244.0,3115.0,3188.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-19,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-19,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-19
19,46.0,139.0,79.0,102.0,314.1,327.9,44.3,93.0,60.1074,62.0684,61.68,23.3105,9.2,32.0,6.55,34.5,2.0314,2.0172,45.8,138.8,108.8,54.8,26.1,36.8,82.5,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,442.0,391.0,371.0,4107.0,4051.0,4497.0,2504.0,296.0,342.0,349.0,454.0,453.0,473.0,574.0,582.0,574.0,535.0,2149.0,2159.0,3311.0,3821.0,3164.0,2974.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-20,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-20,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-20
